	latitude	longitude
Paris	48.85341	2.3488
London	51.50853	-0.12574
Berlin	52.52437	13.41053
St. Petersburg	27.77086	-82.67927
Wien	48.20849	16.37208
Madrid	40.4165	-3.70256
Konstantinopel	41.01384	28.94966
Riga	56.946	24.10589
Brüssel	50.85045	4.34878
Kopenhagen	55.67594	12.56553
New York	40.71427	-74.00597
München	48.13743	11.57549
Hamburg	53.55073	9.99302
Turin	45.07049	7.68682
Dorpat	58.38062	26.72509
Bern	46.94809	7.44744
Stockholm	59.32938	18.06871
Dresden	51.05089	13.73832
Reval	59.43696	24.75353
Warschau	52.22977	21.01178
Neapel	40.85216	14.26811
Domesnees	57.75895	22.60487
Florenz	43.77925	11.24626
Amsterdam	52.37403	4.88969
Haag	48.27063	14.26875
Athen	37.98376	23.72784
Odessa	46.48572	30.74383
Bukarest	44.43225	26.10626
Lissabon	38.71667	-9.13333
Budapest	47.49835	19.04045
Hannover	52.37052	9.73322
Stuttgart	48.78232	9.17702
Triest	45.64953	13.77678
Versailles	48.80359	2.13424
Main	49.7938	9.62448
Karlsruhe	49.00937	8.40444
Kassel	51.31667	9.5
Moskau	55.75222	37.61556
Mitau	56.65	23.71278
Belgrad	44.80401	20.46513
Leipzig	51.33962	12.37129
Kiel	54.32133	10.13489
Frankfurt am Main	50.11552	8.68417
Köln	50.93333	6.95
Washington	38.89511	-77.03637
Libau	56.50474	21.01085
Königsberg	54.70649	20.51095
Darmstadt	49.87167	8.65027
Mailand	45.46427	9.18951
Italien	42.83333	12.83333
Breslau	51.1	17.03333
Türkische Grenze	0.0	0.0
Antwerpen	51.22047	4.40026
Alexandrien	31.20176	29.91582
Marseille	43.29695	5.38107
Posen	41.6317	-87.68144
Prag	50.08804	14.42076
Weimar	50.9803	11.32903
Altona	53.55	9.93333
Bremen	53.07582	8.80717
Liverpool	53.41058	-2.97794
Schweiz	47.00016	8.01427
Genua	44.40478	8.94439
Wiesbaden	50.08258	8.24932
Stettin	53.42894	14.55302
Sofia	42.69751	23.32415
Straßburg	48.58392	7.74553
Kairo	30.06263	31.24967
Venedig	45.43713	12.33265
Bombay	19.07283	72.88261
Zürich	47.36667	8.55
Rendsburg	54.30663	9.66313
Flensburg	54.78431	9.43961
Gotha	50.94823	10.70193
Basel	47.55839	7.57327
Lübeck	53.86893	10.68729
Bolderaa	57.03132	24.05571
Mainz	49.98419	8.2791
Bayonne	40.66871	-74.11431
Smyrna	33.88399	-84.51438
Danzig	54.35227	18.64912
Schleswig	54.52156	9.5586
Windau	57.39485	21.56121
Kronstadt	59.99541	29.76668
Augsburg	48.37154	10.89851
Genf	46.20222	6.14569
Christiania	59.91273	10.74609
Koblenz	50.35357	7.57883
Braunschweig	52.26594	10.52673
Semlin	44.8458	20.40116
Italienische Grenze	0.0	0.0
Kiew	50.45466	30.5238
Potsdam	52.39886	13.06566
Dublin	53.33306	-6.24889
Schwerin	53.62937	11.41316
Charkow	49.98081	36.25272
Livorno	43.54427	10.32615
Pernau	58.38588	24.49711
Zagreb	45.81444	15.97798
Heidelberg	49.40768	8.69079
Oldenburg	53.14118	8.21467
Tiflis	41.69411	44.83368
Bordeaux	44.84044	-0.5805
Baden	48.00543	16.23264
Ragusa	36.92574	14.72443
Mannheim	49.4891	8.46694
Hongkong	22.27832	114.17469
Korfu	39.62441	19.92016
Nürnberg	49.45421	11.07752
Krakau	50.06143	19.93658
Bremerhaven	53.53615	8.59298
Gent	51.05	3.71667
Calcutta	40.6734	-80.57646
Magdeburg	52.12773	11.62916
Barcelona	41.38879	2.15899
Palermo	38.13205	13.33561
Freiburg	47.9959	7.85222
Toulon	43.12442	5.92836
Memel	55.7068	21.13912
Verona	45.4299	10.98444
Lemberg	49.17309	7.65111
Bonn	50.73438	7.09549
Wilna	54.68916	25.2798
Düsseldorf	51.22172	6.77616
Aachen	50.77664	6.08342
Hull	42.30204	-70.90782
Rio de Janeiro	-22.90642	-43.18223
Bologna	44.49381	11.33875
Luxemburg	44.53861	-87.70398
Niederelbe	53.78893	9.42576
Algier	36.73225	3.08746
Dünaburg	55.88333	26.53333
Itzehoe	53.92099	9.51529
Alexandria	31.20176	29.91582
Philadelphia	39.95238	-75.16362
Ankona	43.5942	13.50337
Dundee	56.46913	-2.97489
Donau	44.217771	22.672659
Fellin	58.36389	25.59
Koburg	50.25937	10.96384
Eisenach	50.9807	10.31522
Wenden	50.96667	7.86667
Helsingör	56.03606	12.6136
Perpignan	42.69764	2.89541
Serbische Grenze	0.0	0.0
Hartlepool	54.68554	-1.21028
Malta	48.35972	-107.87428
Narwa	59.37722	28.19028
Dünkirchen	51.0344	2.37681
Wolmar	57.54108	25.42751
Gravesend	40.5976	-73.96514
Erfurt	50.9787	11.03283
Spanische Grenze	0.0	0.0
Lyon	45.74846	4.84671
Lüttich	50.63373	5.56749
Hanau	50.13423	8.91418
Helsingfors	60.16952	24.93545
Baden-Baden	48.7606	8.23975
Fulda	50.55162	9.67518
Salzburg	47.79941	13.04399
Pera	41.03694	28.9775
Rhein	50.075467	7.773223
Münster	51.96236	7.62571
Nizza	43.70313	7.26608
Varna	43.21667	27.91667
Sachsen	51.118812	12.937999
Nowgorod	58.52131	31.27104
Jassy	47.16667	27.6
Innsbruck	47.26266	11.39454
Modena	44.64783	10.92539
Kurland	56.816781	22.768799
Thüringen	47.2	9.76667
Gothenburg	40.92945	-100.16068
