placename	latitude	longitude	calendar
Paris	48.85341	2.3488	g
London	51.50853	-0.12574	g
Berlin	52.52437	13.41053	g
St. Petersburg	59.93863	30.31413	j
Wien	48.20849	16.37208	g
Madrid	40.4165	-3.70256	g
Konstantinopel	41.01384	28.94966	g
Riga	56.946	24.10589	j
Brüssel	50.85045	4.34878	g
Kopenhagen	55.67594	12.56553	g
New York	40.71427	-74.00597	g
München	48.13743	11.57549	g
Hamburg	53.55073	9.99302	g
Turin	45.07049	7.68682	g
Dorpat	58.38062	26.72509	j
Bern	46.94809	7.44744	g
Stockholm	59.32938	18.06871	g
Dresden	51.05089	13.73832	g
Reval	59.43696	24.75353	j
Warschau	52.22977	21.01178	g
Neapel	40.85216	14.26811	g
Domesnees	57.75895	22.60487	j
Florenz	43.77925	11.24626	g
Amsterdam	52.37403	4.88969	g
Haag	52.07667	4.29861	g
Athen	37.98376	23.72784	g
Odessa	46.48572	30.74383	j
Bukarest	44.43225	26.10626	g
Lissabon	38.71667	-9.13333	g
Budapest	47.49835	19.04045	g
Hannover	52.37052	9.73322	g
Stuttgart	48.78232	9.17702	g
Triest	45.64953	13.77678	g
Versailles	48.80359	2.13424	g
Main	49.7938	9.62448	g
Karlsruhe	49.00937	8.40444	g
Kassel	51.31667	9.5	g
Moskau	55.75222	37.61556	j
Mitau	56.65	23.71278	j
Belgrad	44.80401	20.46513	j
Leipzig	51.33962	12.37129	g
Kiel	54.32133	10.13489	g
Frankfurt am Main	50.11552	8.68417	g
Köln	50.93333	6.95	g
Washington	38.89511	-77.03637	g
Libau	56.50474	21.01085	j
Königsberg	54.70649	20.51095	g
Darmstadt	49.87167	8.65027	g
Mailand	45.46427	9.18951	g
Italien	42.83333	12.83333	g
Breslau	51.1	17.03333	g
Türkische Grenze	41.15	43.2167	j
Antwerpen	51.22047	4.40026	g
Alexandrien	31.20176	29.91582	g
Marseille	43.29695	5.38107	g
Posen	52.40692	16.92993	g
Prag	50.08804	14.42076	g
Weimar	50.9803	11.32903	g
Altona	53.55	9.93333	g
Bremen	53.07582	8.80717	g
Liverpool	53.41058	-2.97794	g
Schweiz	47.00016	8.01427	g
Genua	44.40478	8.94439	g
Wiesbaden	50.08258	8.24932	g
Stettin	53.42894	14.55302	g
Sofia	42.69751	23.32415	j
Straßburg	48.58392	7.74553	g
Kairo	30.06263	31.24967	g
Venedig	45.43713	12.33265	g
Bombay	19.07283	72.88261	g
Zürich	47.36667	8.55	g
Rendsburg	54.30663	9.66313	g
Flensburg	54.78431	9.43961	g
Gotha	50.94823	10.70193	g
Basel	47.55839	7.57327	g
Lübeck	53.86893	10.68729	g
Bolderaa	57.03132	24.05571	j
Mainz	49.98419	8.2791	g
Bayonne	43.49316	-1.473	g
Smyrna	38.41273	27.13838	j
Danzig	54.35227	18.64912	g
Schleswig	54.52156	9.5586	g
Windau	57.39485	21.56121	j
Kronstadt	59.99541	29.76668	j
Augsburg	48.37154	10.89851	g
Genf	46.20222	6.14569	g
Christiania	59.91273	10.74609	g
Koblenz	50.35357	7.57883	g
Braunschweig	52.26594	10.52673	g
Semlin	44.8458	20.40116	g
Italienische Grenze	46.5369	12.1390	g
Kiew	50.45466	30.5238	j
Potsdam	52.39886	13.06566	g
Dublin	53.33306	-6.24889	g
Schwerin	53.62937	11.41316	g
Charkow	49.98081	36.25272	j
Livorno	43.54427	10.32615	g
Pernau	58.38588	24.49711	j
Zagreb	45.81444	15.97798	g
Heidelberg	49.40768	8.69079	g
Oldenburg	53.14118	8.21467	g
Tiflis	41.69411	44.83368	j
