	Paris	London	Berlin	St. Petersburg	Wien	Madrid	Konstantinopel	Riga	Brüssel	Kopenhagen	New York	München	Hamburg	Turin	Dorpat	Bern	Stockholm	Dresden	Reval	Warschau	Neapel	Domesnees	Florenz	Amsterdam	Haag	Athen	Odessa	Bukarest	Lissabon	Budapest	Hannover	Stuttgart	Triest	Versailles	Main	Karlsruhe	Kassel	Moskau	Mitau	Belgrad	Leipzig	Kiel	Frankfurt am Main	Köln	Washington	Libau	Königsberg	Darmstadt	Mailand	Italien	Breslau	Türkische Grenze	Antwerpen	Alexandrien	Marseille	Posen	Prag	Weimar	Altona	Bremen	Liverpool	Schweiz	Genua	Wiesbaden	Stettin	Sofia	Straßburg	Kairo	Venedig	Bombay	Zürich	Rendsburg	Flensburg	Gotha	Basel	Lübeck	Bolderaa	Mainz	Bayonne	Smyrna	Danzig	Schleswig	Windau	Kronstadt	Augsburg	Genf	Christiania	Koblenz	Braunschweig	Semlin	Italienische Grenze	Kiew	Potsdam	Dublin	Schwerin	Charkow	Livorno	Pernau	Zagreb	Heidelberg	Oldenburg	Tiflis	Bordeaux	Baden	Ragusa	Mannheim	Hongkong	Korfu	Nürnberg	Krakau	Bremerhaven	Gent	Calcutta	Magdeburg	Barcelona	Palermo	Freiburg	Toulon	Memel	Verona	Lemberg	Bonn	Wilna	Düsseldorf	Aachen	Hull	Rio de Janeiro	Bologna	Luxemburg	Niederelbe	Algier	Dünaburg	Itzehoe	Alexandria	Philadelphia	Ankona	Dundee	Donau	Fellin	Koburg	Eisenach	Wenden	Helsingör	Perpignan	Serbische Grenze	Hartlepool	Malta	Narwa	Dünkirchen	Wolmar	Gravesend	Erfurt	Spanische Grenze	Lyon	Lüttich	Hanau	Helsingfors	Baden-Baden	Fulda	Salzburg	Pera	Rhein	Münster	Nizza	Varna	Sachsen	Nowgorod	Jassy	Innsbruck	Modena	Kurland	Thüringen	Gothenburg	Stralsund	Würzburg	Grimsby	Zara	Halle	Sewastopol	Elberfeld	Holstein	Archangelsk	Preßburg	Tours	Rostock	Luzern	Sanssouci	Beirut	Tuckum	Taschkent	Niederlanden	Parma	Metz	Tilsit	Regensburg	Peterhof	Arensburg	Göttingen	Mexiko	Altenburg	Helvoet	Tunis	Gibraltar	Cettinje	Brünn	Teplitz	Walk	Leith	Havre	Belfast	Dessau	Cadix	Livland	Swinemünde	Rastatt	Kasan	Meiningen	Oporto	Ostende	Shanghai	Orenburg	Trier	Jena	Zante	Nauplia	Orel	Grangemouth	Ofen	Oesterreich	Gravenhaag	Teheran	Livadia	Vlissingen	Malchin	Kissingen	Rustschuk	Zarskoje-Sselo	Saragossa	Philippopel	Brandenburgischen	Bayreuth	Helgoland	Twer	Olmütz	Schellenberg	Baltischport	Boston	Konstanz	Worms	Texel	Tirnowo	Porto	Ssaratow	Graz	Polnische Grenze	Rotterdam	Aberdeen	Hermannstadt	Gastein	Saarbrücken	Glasgow	Messina	Shields	Plymouth	Vlie	Hapsal	Arbroath	Trapezunt	Newport	Linz	Speyer	Preußen	Caprera	Astrachan	Charlottenburg	Dirschau	Chur	Elbing	Cattaro	Galacz	Marienburg	Simla	Havanna	Sünderland	Manchester	Cuxhaven	Goldingen	Frankreich	Möttau	Lausanne	Lille	Kahira	Coblenz	Pleskau	Detmold	Gumbinnen	Niederrhein	San Francisco	Nieder-Elbe	Elbe	Kaluga	Skutari	Ischl	Veracruz	Southampton	Oger	Gatschina	Taganrog	Melbourne	Paderborn	Karlsbad	Smolensk	Rom	Gießen	Baku	Tschernigow	Jerusalem	Syra	Hadersleben	Ulm	Kreutzburg	Galatz	Lodz	Malaga	Witebsk	Erlangen	Wesel	Homburg	Sigmaringen	Coburg	Mecklenburg	Chicago	Abo	Ems	Wladimir	St. Gallen	Pillau	Brest	Gera	Tula	Lindau	Buenos Aires	Montevideo	Werro	Nishni-Nowgorod	Polangen	Osnabrück	Kowno	Dover	Pensa	Bromberg	Woronesh	Marburg	Sellin	Tambow	Kostroma	Portsmouth	Damaskus	Minden	Macao	Schaffhausen	Pskow	San Sebastian	Santander	Ludwigsburg	Wittenberg	Newcastle	Nyborg	Poltawa	Lüneburg	Thorn
1802	23.614583333333332	23.294117647058822	17.09090909090909	11.131868131868131	24.814814814814813		47.214285714285715	2.0	22.666666666666668			25.75	15.2		11.75	29.666666666666668	26.076923076923077		10.0		44.5		35.5	19.166666666666668	19.40625										21.555555555555557	25.0							22.0				22.0	18.0	32.666666666666664	33.333333333333336										18.0		31.5	35.0				24.666666666666668		35.0		28.333333333333332			30.0	25.2	16.0		21.5			22.0				23.5							39.0					40.0									25.0													21.0				45.0							15.0																								29.0		22.0						21.0	17.5			19.0																													23.0							84.0			22.4																					35.0		41.0																														8.0																														24.0		29.0																							39.5																																																25.0								41.0		
1803	22.6	25.11578947368421	14.571428571428571	12.490384615384615	24.5625	42.25	46.38461538461539		21.884615384615383	20.0			16.5		10.75	25.0	25.2				50.0		35.0	22.77777777777778	20.25				44.666666666666664		18.2				22.0								21.0	23.0			31.0	21.0	34.2	33.857142857142854		20.0				14.0			15.0			29.5					24.25		32.0			22.0						19.333333333333332			21.0			18.0										28.0	19.0		33.5												22.0												43.0							30.0		15.5					62.0							6.0	21.0													21.25					36.0												24.0	18.0											19.0										22.571428571428573								55.5																									24.0																29.0																																										19.0																											37.0							28.5				44.0														31.0																																18.8	
1804	23.66923076923077	25.9	18.0	15.232142857142858	25.83783783783784	42.42857142857143	51.21052631578947	3.0	21.666666666666668	19.764705882352942		19.0	16.333333333333332		16.0	31.0	25.1		14.666666666666666	24.0	40.0		36.666666666666664	19.710526315789473	19.56		42.5	33.0	46.0		19.0		30.0		21.875		23.0	34.333333333333336	8.666666666666666	33.0	21.0		21.4				24.0	21.0	33.5	31.545454545454547			21.5					22.0		16.0		28.0	36.0				23.2		31.666666666666668		25.5							25.0							22.75												35.6			25.0						23.0																						36.0			64.0				64.0								18.0					13.0						31.0		21.5			20.0														50.0	19.142857142857142								57.0													22.0	66.5							54.0									44.666666666666664					28.0	33.0			73.66666666666667		25.0			34.0																17.0														21.0						42.0				17.0																																															37.42857142857143							22.5				45.05555555555556														34.0											28.0	54.0					39.0														39.0		
1805	23.794871794871796	25.814814814814813	19.97222222222222	12.349056603773585	25.71698113207547	38.22222222222222	53.04545454545455	2.6666666666666665	21.0	19.083333333333332	80.0	23.666666666666668	17.142857142857142			29.0	27.0	23.5		34.0	38.333333333333336		36.5	19.620689655172413	20.666666666666668		50.0		49.2		19.63157894736842	24.0	45.5		21.72222222222222	25.333333333333332	22.0	32.0	41.0		22.846153846153847		21.0						33.0	32.84615384615385	23.333333333333332						27.75	20.0				29.0	34.625	36.0			24.0		36.857142857142854							15.0		22.333333333333332	33.0		22.0				24.555555555555557								22.5				38.857142857142854									22.444444444444443			23.75	25.0											42.5							38.0			54.5				112.0			28.0					19.0													22.25				26.0														18.0	24.333333333333332							38.5													22.9										29.0								24.0					43.0	28.0										17.5																											21.0						56.0								24.0																																											41.111111111111114							28.5				34.0		24.333333333333332	32.0														27.0																													19.0	21.0
1806	24.914285714285715	26.39240506329114	20.513513513513512	14.574074074074074	28.58	46.333333333333336	51.55	2.0		21.41176470588235		30.0	21.833333333333332		4.0		34.0	24.0	32.0		48.05555555555556			22.526315789473685	23.73170731707317				50.0		24.0	26.25	44.0		25.18421052631579		18.0	37.0	35.0		26.375		36.44444444444444				28.75		37.0	38.5	32.0	27.0				23.0		29.0	16.0	16.0			35.0		21.5		25.666666666666668		31.0					18.0	38.5	32.666666666666664								16.0	27.523809523809526				45.5											26.428571428571427						29.5			25.333333333333332												46.0			26.0				38.0		25.0	65.0				71.0			30.0			23.5		26.0									22.0				22.0			29.0	26.0			26.0			47.2								25.0	41.5							71.0													24.083333333333332			38.5							29.25									24.0							77.0		42.0						31.5											16.5	25.0							32.0								18.0						64.0								39.0																																								21.0			44.714285714285715							27.0						28.333333333333332	27.333333333333332										34.5		30.0								21.0						37.0				26.0													26.0	
1807	37.372093023255815	48.93939393939394	28.4	16.463768115942027	46.515151515151516	43.5	67.45454545454545	4.083333333333333		35.25806451612903			33.0				51.0	40.666666666666664		39.75	55.2			40.333333333333336	34.142857142857146			80.5	59.0		31.0	54.0	69.5		50.2		29.0	40.0			43.25	28.0	48.2				16.5		45.666666666666664		49.333333333333336	91.0	40.0						38.5	36.5			56.0						44.0		50.0	26.0				39.5		29.0	35.0	64.0	23.8				58.5				60.0	52.0					38.4		58.0												33.666666666666664										25.714285714285715	45.5										35.90909090909091						37.0		32.0					31.666666666666668						31.0							22.0										58.0							38.0	47.75			74.0	72.0							41.0									35.0																																			38.0												71.0																																															32.0		39.0																							46.666666666666664							37.0																	18.5																																	44.0	
1808	24.051546391752577	37.7	12.714285714285714	16.194444444444443	24.333333333333332	36.68421052631579	53.55555555555556	2.7777777777777777	34.5	24.651162790697676	90.0	26.75	29.823529411764707			36.5	28.75	24.375		28.428571428571427	38.714285714285715		44.0	29.0	25.0		46.0	64.5	44.666666666666664		21.8		42.4		23.666666666666668		27.11111111111111		8.0	28.571428571428573	22.857142857142858	21.0	27.0		73.0	32.0	22.571428571428573	29.0	32.8	30.0	18.666666666666668		41.0				29.0	30.0	23.8	38.0		29.0			23.0		28.0		33.5		31.0	19.0		21.0	39.0	33.4		27.0	29.727272727272727	55.0	28.666666666666668			20.0	25.833333333333332					43.0							31.0						32.5						24.0					18.0					29.333333333333332									45.0		33.75					77.0			31.0					25.5	31.0								20.666666666666668							28.0														36.5	24.0	26.0			32.5				68.0											32.0					25.0							29.0																								23.0											18.0																38.0														33.5											28.0				50.0			33.0																									43.44444444444444														12.0						46.0													27.0						39.0																			
1809	23.604166666666668	30.884615384615383	13.176470588235293	10.87912087912088	26.948453608247423	39.89473684210526	57.5	3.6666666666666665	26.0	21.375	57.0	24.63888888888889	19.8	36.0		32.0	32.2	20.653846153846153	54.0	26.0	41.36363636363637		43.0	20.53846153846154			64.0	52.0	63.0		18.0	23.75	37.333333333333336		21.58823529411765	23.0	20.875	23.0		47.0	20.93103448275862		22.347826086956523		69.0		22.0	25.0	32.666666666666664	40.0	24.0		24.285714285714285		33.0	23.4	23.285714285714285	30.0	16.0			29.0			19.0		24.8		33.0		30.0			24.333333333333332		15.0			31.05263157894737				67.0	17.0	23.86046511627907				25.0	48.166666666666664		35.0				33.0				26.0			29.5			35.0			23.444444444444443					20.25				32.0		34.0										18.75					117.0			26.166666666666668					23.0											33.5		25.0				27.444444444444443				34.0		19.5							29.0	18.75	26.0		40.0	20.0				38.0											29.0		27.8	19.5	25.0								30.0														31.0		61.2							31.333333333333332	26.666666666666668									43.0					23.5						17.0					30.0		26.25														32.0				72.33333333333333			26.0											37.0													25.0							108.0					34.57142857142857							24.333333333333332						25.5							25.0		52.5	25.0					24.0					44.0						36.0				34.0						24.0			24.857142857142858						
1810	23.134920634920636	29.47945205479452	13.615384615384615	12.663461538461538	24.50793650793651	41.916666666666664	56.142857142857146	5.0	22.5	19.0	58.0	25.821428571428573	15.88888888888889	32.0	20.0	29.666666666666668	28.296296296296298	20.52173913043478	31.22222222222222	23.692307692307693	36.5			20.060606060606062			44.8		41.333333333333336	30.0	20.285714285714285	26.25	35.5		21.73170731707317	24.0	20.666666666666668	25.4	5.333333333333333		26.3		21.80952380952381		52.0	29.5	26.4		30.375	32.833333333333336	18.0		21.666666666666668		34.5	23.0	25.0	30.0		19.0		32.0	35.0				25.0		32.0					23.333333333333332	30.0			29.666666666666668	31.76923076923077	52.0	26.166666666666668		25.0	20.333333333333332	24.0							42.0			20.0	35.333333333333336	34.0		50.0	27.0			36.0			23.0			24.666666666666668					18.0									27.0							19.428571428571427	57.0					30.5		24.5					20.4					14.0				25.0								25.75		23.0				21.5	14.0						25.5	19.5	25.0		54.0	23.0				47.0	29.0		18.0				10.5						25.333333333333332		34.0	23.0					54.0		46.0		26.0		26.0			49.5				39.5					59.0					31.666666666666668			25.75									49.0		22.0			19.0													21.0														30.0				45.5														28.5		32.5																		43.5				34.25	41.44444444444444		103.0	23.0										27.0									29.0	25.0					25.0			34.0		35.888888888888886				32.0		32.0			30.0	24.0	27.0					25.0				18.0					
1811	21.93421052631579	29.185185185185187	14.0	13.293577981651376	22.9672131147541	51.0	57.45454545454545	1.875	22.666666666666668	22.25	63.857142857142854	25.11111111111111	17.35	35.5	14.5	30.25	25.944444444444443	22.5	24.0	27.333333333333332	38.54545454545455		35.666666666666664	20.6875			41.0		47.5			24.0			23.0	23.333333333333332	19.0	26.555555555555557			28.75		22.625				19.375		31.444444444444443	34.333333333333336	18.0		24.8			42.0		27.0	17.0			28.2	35.5				24.0		43.666666666666664		28.333333333333332			26.0	30.666666666666668	30.666666666666668		19.0		79.0	22.0			20.0	23.46153846153846				25.0			30.0	15.0				38.0									21.0			23.5					18.5				32.0	36.0		42.0				26.0										100.0	45.0							19.0					23.0	26.0			27.0											26.0			27.571428571428573						26.0	25.0	18.0					37.0			34.0										29.0	25.0	29.0	31.0		43.0					68.0	47.0								18.0	53.6				35.0			25.0		42.333333333333336								21.0									87.0				37.0	25.375													20.0		37.0						33.0										45.5				26.0			24.0							29.0		25.0	25.0										29.75							42.5				28.75	42.0							26.5							27.0								29.0					30.0												34.5			32.5	28.0	27.0					25.333333333333332							34.666666666666664	23.0	
