	placename	latitude	longitude	calendar	total_freq	german_presence	russian_empire	sovereign_capital
0	Paris	48.85341	2.3488	g	25539	0	0	1
1	London	51.50853	-0.12574	g	21172	0	0	1
2	Berlin	52.52437	13.41053	g	18077	1	0	1
3	St. Petersburg	59.93863	30.31413	j	17770	0	1	1
4	Wien	48.20849	16.37208	g	14724	1	0	1
5	Madrid	40.4165	-3.70256	g	5822	0	0	1
295	Rom	41.89193	12.51133	g	4406	0	0	1
6	Konstantinopel	41.01384	28.94966	g	4391	0	0	1
8	Brüssel	50.85045	4.34878	g	3496	0	0	1
9	Kopenhagen	55.67594	12.56553	g	3347	0	0	1
10	New York	40.71427	-74.00597	g	3268	1	0	0
11	München	48.13743	11.57549	g	3098	1	0	0
7	Riga	56.946	24.10589	j	2782	1	1	0
12	Hamburg	53.55073	9.99302	g	2692	1	0	0
13	Turin	45.07049	7.68682	g	2606	0	0	0
15	Bern	46.94809	7.44744	g	1863	1	0	1
14	Dorpat	58.38062	26.72509	j	1714	1	1	0
16	Stockholm	59.32938	18.06871	g	1688	0	0	1
19	Warschau	52.22977	21.01178	g	1619	0	1	0
17	Dresden	51.05089	13.73832	g	1614	1	0	0
18	Reval	59.43696	24.75353	j	1580	1	1	0
21	Domesnees	57.75895	22.60487	j	1527	1	1	0
24	Haag	52.07667	4.29861	g	1500	0	0	0
22	Florenz	43.77925	11.24626	g	1455	0	0	0
20	Neapel	40.85216	14.26811	g	1401	0	0	0
26	Odessa	46.48572	30.74383	j	1371	0	1	0
25	Athen	37.98376	23.72784	g	1359	0	0	1
23	Amsterdam	52.37403	4.88969	g	1351	0	0	1
28	Lissabon	38.71667	-9.13333	g	1326	0	0	1
30	Hannover	52.37052	9.73322	g	1283	1	0	0
31	Stuttgart	48.78232	9.17702	g	1267	1	0	0
27	Bukarest	44.43225	26.10626	g	1255	0	0	1
32	Triest	45.64953	13.77678	g	1115	0	0	0
33	Versailles	48.80359	2.13424	g	1057	0	0	0
37	Moskau	55.75222	37.61556	j	1027	0	1	0
35	Karlsruhe	49.00937	8.40444	g	1015	1	0	0
34	Main	49.7938	9.62448	g	992	1	0	0
36	Kassel	51.31667	9.5	g	941	1	0	0
29	Budapest	47.49835	19.04045	g	861	0	0	1
41	Kiel	54.32133	10.13489	g	785	1	0	0
39	Belgrad	44.80401	20.46513	j	771	0	0	0
40	Leipzig	51.33962	12.37129	g	743	1	0	0
42	Frankfurt am Main	50.11552	8.68417	g	707	1	0	0
43	Köln	50.93333	6.95	g	674	1	0	0
48	Mailand	45.46427	9.18951	g	641	0	0	0
49	Italien	42.83333	12.83333	g	637	0	0	0
44	Washington	38.89511	-77.03637	g	636	0	0	1
46	Königsberg	54.70649	20.51095	g	635	1	0	0
47	Darmstadt	49.87167	8.65027	g	609	1	0	0
53	Alexandrien	31.20176	29.91582	g	602	0	0	0
50	Breslau	51.1	17.03333	g	587	1	0	0
45	Libau	56.50474	21.01085	j	539	1	1	0
