	placename	longitude	latitude	freq	geometry	id
0	Paris	-553957.6202765539	2155200.804664789	13309.0	POINT (-553957.6202765539 2155200.804664789)	1
1	London	-691159.2769013236	2466065.262581071	10808.0	POINT (-691159.2769013236 2466065.262581071)	3
2	Berlin	228295.87770922156	2534201.357562954	16003.0	POINT (228295.87770922156 2534201.357562954)	0
3	St. Petersburg	1114257.5172729476	3503553.8625624687	12866.0	POINT (1114257.5172729476 3503553.8625624687)	2
4	Wien	468038.4707875375	2075517.2563286922	8464.0	POINT (468038.4707875375 2075517.2563286922)	4
5	Madrid	-1165061.253135451	1302642.4776827507	2297.0	POINT (-1165061.253135451 1302642.4776827507)	6
6	Rom	209123.62397420188	1359666.7874678357	2665.0	POINT (209123.62397420188 1359666.7874678357)	5
7	Konstantinopel	1585071.67501981	1468200.1328088385	2086.0	POINT (1585071.67501981 1468200.1328088385)	7
8	Brüssel	-392257.3600126043	2360490.761819043	1374.0	POINT (-392257.3600126043 2360490.761819043)	14
9	Kopenhagen	159429.77212115252	2877726.8702465496	1263.0	POINT (159429.77212115252 2877726.8702465496)	15
10	München	116094.972006668	2048214.6722579987	1576.0	POINT (116094.972006668 2048214.6722579987)	10
11	Hamburg	-377.95877564049164	2641438.419469061	1452.0	POINT (-377.95877564049164 2641438.419469061)	13
12	Turin	-181124.25040150952	1711661.1636276636	1105.0	POINT (-181124.25040150952 1711661.1636276636)	18
13	Bern	-192511.13009150818	1919406.1726347865	868.0	POINT (-192511.13009150818 1919406.1726347865)	24
14	Dorpat	961092.3621795105	3285093.629219618	1846.0	POINT (961092.3621795105 3285093.629219618)	9
15	Stockholm	455186.4699972974	3303187.6641124627	452.0	POINT (455186.4699972974 3303187.6641124627)	33
16	Warschau	739269.6733879977	2553186.766727675	970.0	POINT (739269.6733879977 2553186.766727675)	21
17	Dresden	258618.35872350467	2373788.3162105666	656.0	POINT (258618.35872350467 2373788.3162105666)	29
18	Reval	825719.2437487979	3374549.675762441	1502.0	POINT (825719.2437487979 3374549.675762441)	12
19	Domesnees	739152.2039231252	3169164.7652863273	1551.0	POINT (739152.2039231252 3169164.7652863273)	11
20	Haag	-385069.93198786594	2494934.3240800397	316.0	POINT (-385069.93198786594 2494934.3240800397)	42
21	Florenz	100196.54543850334	1566647.8272346398	1126.0	POINT (100196.54543850334 1566647.8272346398)	17
22	Neapel	362106.87266825046	1250731.2304494216	517.0	POINT (362106.87266825046 1250731.2304494216)	31
23	Odessa	1558401.014933319	2091449.8754357263	976.0	POINT (1558401.014933319 2091449.8754357263)	20
24	Athen	1219257.5226106711	1034602.5454419061	791.0	POINT (1219257.5226106711 1034602.5454419061)	26
25	Amsterdam	-342893.41536445654	2524483.4583871216	926.0	POINT (-342893.41536445654 2524483.4583871216)	22
26	Lissabon	-1667673.5396804698	1223720.7227287486	250.0	POINT (-1667673.5396804698 1223720.7227287486)	48
