	placename	longitude	latitude	freq	geometry	id
0	Paris	57591.99320332077	2567614.2723384975	13309.0	POINT (57591.99320332077 2567614.2723384975)	1
1	London	14681.651476345723	2756540.9407140044	10808.0	POINT (14681.651476345723 2756540.9407140044)	3
2	Berlin	326695.6480568197	2624314.498721955	16003.0	POINT (326695.6480568197 2624314.498721955)	0
3	St. Petersburg	1177152.3970072474	3597862.3503433773	12866.0	POINT (1177152.3970072474 3597862.3503433773)	2
4	Wien	525573.9827960463	2232124.248438415	8464.0	POINT (525573.9827960463 2232124.248438415)	4
5	Madrid	40993.00228943094	2380435.7246284797	2297.0	POINT (40993.00228943094 2380435.7246284797)	6
6	Rom	282442.9177559995	1560519.3501914816	2665.0	POINT (282442.9177559995 1560519.3501914816)	5
7	Konstantinopel	1481925.9906881326	1694858.8194646647	2086.0	POINT (1481925.9906881326 1694858.8194646647)	7
8	Brüssel	54663.34683518123	2627077.169194185	1374.0	POINT (54663.34683518123 2627077.169194185)	14
9	Kopenhagen	-62988.42980154883	2806227.4148445716	1263.0	POINT (-62988.42980154883 2806227.4148445716)	15
10	München	172169.58680314233	2129107.7056436543	1576.0	POINT (172169.58680314233 2129107.7056436543)	10
11	Hamburg	-39344.14276418206	2620374.2501330725	1452.0	POINT (-39344.14276418206 2620374.2501330725)	13
12	Turin	83484.04919311125	2069571.3144393489	1105.0	POINT (83484.04919311125 2069571.3144393489)	18
13	Bern	83284.45102466899	2233047.827549324	868.0	POINT (83284.45102466899 2233047.827549324)	24
14	Dorpat	1492194.5932601253	4132093.5379695613	1846.0	POINT (1492194.5932601253 4132093.5379695613)	9
15	Stockholm	-521153.0301363218	3819897.84175227	452.0	POINT (-521153.0301363218 3819897.84175227)	33
16	Warschau	112678.96706949826	-718100.8460358251	970.0	POINT (112678.96706949826 -718100.8460358251)	21
17	Dresden	185297.92386820354	2283054.4133334905	656.0	POINT (185297.92386820354 2283054.4133334905)	29
18	Reval	760494.1963668558	4387032.862334258	1502.0	POINT (760494.1963668558 4387032.862334258)	12
19	Domesnees	509753.2794469248	3326298.399679393	1551.0	POINT (509753.2794469248 3326298.399679393)	11
20	Haag	-86586.70059884153	2641358.1505254703	316.0	POINT (-86586.70059884153 2641358.1505254703)	42
21	Florenz	122170.89482684317	1611905.4715859895	1126.0	POINT (122170.89482684317 1611905.4715859895)	17
22	Neapel	467737.953643851	1655948.25578359	517.0	POINT (467737.953643851 1655948.25578359)	31
23	Odessa	1974272.6026326614	1506077.4238393216	976.0	POINT (1974272.6026326614 1506077.4238393216)	20
24	Athen	1143077.669093403	1452921.820167518	791.0	POINT (1143077.669093403 1452921.820167518)	26
25	Amsterdam	12394.278177550645	2696120.3852404524	926.0	POINT (12394.278177550645 2696120.3852404524)	22
