	placename	longitude	latitude	freq	geometry	id
0	Paris	-553957.6202765539	2155200.804664789	11681.0	POINT (-553957.6202765539 2155200.804664789)	3
1	London	-691159.2769013236	2466065.262581071	10334.0	POINT (-691159.2769013236 2466065.262581071)	4
2	Berlin	228295.87770922156	2534201.357562954	14629.0	POINT (228295.87770922156 2534201.357562954)	0
3	St. Petersburg	1114257.5172729476	3503553.8625624687	13160.0	POINT (1114257.5172729476 3503553.8625624687)	2
4	Wien	468038.4707875375	2075517.2563286922	7492.0	POINT (468038.4707875375 2075517.2563286922)	5
5	Madrid	-1165060.9238645933	1302642.4854807733	2157.0	POINT (-1165060.9238645933 1302642.4854807733)	7
6	Konstantinopel	1585071.67501981	1468200.1328088385	1652.0	POINT (1585071.67501981 1468200.1328088385)	8
7	Brüssel	-392257.3600126043	2360490.761819043	1358.0	POINT (-392257.3600126043 2360490.761819043)	14
8	Kopenhagen	159429.77212115252	2877726.8702465496	1202.0	POINT (159429.77212115252 2877726.8702465496)	15
9	München	116094.972006668	2048214.6722579987	1360.0	POINT (116094.972006668 2048214.6722579987)	13
10	Hamburg	-377.95877564049164	2641438.419469061	1379.0	POINT (-377.95877564049164 2641438.419469061)	12
11	Turin	-181124.25040150952	1711661.1636276636	902.0	POINT (-181124.25040150952 1711661.1636276636)	20
12	Dorpat	961092.3621795105	3285093.629219618	1526.0	POINT (961092.3621795105 3285093.629219618)	10
13	Bern	-192511.13009150818	1919406.1726347865	815.0	POINT (-192511.13009150818 1919406.1726347865)	25
14	Stockholm	455186.4699972974	3303187.6641124627	396.0	POINT (455186.4699972974 3303187.6641124627)	33
15	Dresden	258618.35872350467	2373788.3162105666	595.0	POINT (258618.35872350467 2373788.3162105666)	28
16	Reval	825719.2437487979	3374549.675762441	1439.0	POINT (825719.2437487979 3374549.675762441)	11
17	Warschau	739269.6733879977	2553186.766727675	866.0	POINT (739269.6733879977 2553186.766727675)	23
18	Neapel	362106.87266825046	1250731.2304494216	260.0	POINT (362106.87266825046 1250731.2304494216)	45
19	Domesnees	739152.2039231252	3169164.7652863273	1580.0	POINT (739152.2039231252 3169164.7652863273)	9
20	Florenz	100196.54543850334	1566647.8272346398	1022.0	POINT (100196.54543850334 1566647.8272346398)	17
21	Amsterdam	-342893.41536445654	2524483.4583871216	901.0	POINT (-342893.41536445654 2524483.4583871216)	21
22	Haag	-385069.93198786594	2494934.3240800397	305.0	POINT (-385069.93198786594 2494934.3240800397)	40
23	Athen	1219257.5226106711	1034602.5454419061	681.0	POINT (1219257.5226106711 1034602.5454419061)	26
24	Odessa	1558401.014933319	2091449.8754357263	956.0	POINT (1558401.014933319 2091449.8754357263)	18
25	Bukarest	1267150.3251352927	1780687.841186761	945.0	POINT (1267150.3251352927 1780687.841186761)	19
26	Lissabon	-1667668.5430395887	1223727.9252045841	235.0	POINT (-1667668.5430395887 1223727.9252045841)	48
27	Budapest	672926.5219584757	2018970.8568973592	878.0	POINT (672926.5219584757 2018970.8568973592)	22
28	Hannover	-17842.7201935332	2511934.490479429	329.0	POINT (-17842.7201935332 2511934.490479429)	38
29	Stuttgart	-59714.32590160933	2118212.660680459	444.0	POINT (-59714.32590160933 2118212.660680459)	31
30	Triest	292490.06823887705	1780416.4652539159	320.0	POINT (292490.06823887705 1780416.4652539159)	39
31	Versailles	-570031.2775177407	2151433.2146721906	1104.0	POINT (-570031.2775177407 2151433.2146721906)	16
32	Karlsruhe	-115285.84052655585	2144111.120249146	340.0	POINT (-115285.84052655585 2144111.120249146)	36
33	Kassel	-34312.254928328075	2396357.7472332465	374.0	POINT (-34312.254928328075 2396357.7472332465)	34
34	Moskau	1670670.708887797	3208138.2671111785	836.0	POINT (1670670.708887797 3208138.2671111785)	24
35	Mitau	826520.2891521091	3061103.2613464436	331.0	POINT (826520.2891521091 3061103.2613464436)	37
36	Belgrad	821397.4266426413	1739170.0603555702	623.0	POINT (821397.4266426413 1739170.0603555702)	27
37	Leipzig	163074.2116163365	2401445.8217976177	278.0	POINT (163074.2116163365 2401445.8217976177)	43
38	Kiel	8737.8118591463	2726053.8825511574	232.0	POINT (8737.8118591463 2726053.8825511574)	49
39	Köln	-211435.7745028272	2358646.741052707	271.0	POINT (-211435.7745028272 2358646.741052707)	44
40	Libau	667554.7026691283	3017267.849116337	478.0	POINT (667554.7026691283 3017267.849116337)	30
41	Königsberg	666278.5789508942	2817144.514393556	177.0	POINT (666278.5789508942 2817144.514393556)	55
42	Darmstadt	-95734.54825815305	2238479.818689187	243.0	POINT (-95734.54825815305 2238479.818689187)	47
43	Mailand	-62928.78705033491	1752622.9157786232	137.0	POINT (-62928.78705033491 1752622.9157786232)	64
44	Breslau	485415.69783830433	2396218.561488284	209.0	POINT (485415.69783830433 2396218.561488284)	51
45	Antwerpen	-385529.44361403	2400706.5520633063	259.0	POINT (-385529.44361403 2400706.5520633063)	46
46	Alexandrien	1969511.66786011	415124.0708616759	94.0	POINT (1969511.66786011 415124.0708616759)	77
47	Marseille	-374176.82682645554	1524298.9485482213	111.0	POINT (-374176.82682645554 1524298.9485482213)	73
48	Posen	464494.946174164	2538300.818985174	280.0	POINT (464494.946174164 2538300.818985174)	42
49	Prag	312258.47007362754	2270948.1123159747	199.0	POINT (312258.47007362754 2270948.1123159747)	52
50	Weimar	92172.79745122425	2360166.054418853	114.0	POINT (92172.79745122425 2360166.054418853)	71
51	Altona	-4280.173749954889	2641360.283745173	140.0	POINT (-4280.173749954889 2641360.283745173)	61
52	Bremen	-78762.53192434402	2589963.6346223513	128.0	POINT (-78762.53192434402 2589963.6346223513)	66
53	Liverpool	-846495.7262418879	2702687.523212668	405.0	POINT (-846495.7262418879 2702687.523212668)	32
54	Wiesbaden	-123628.02310454448	2262252.038747284	127.0	POINT (-123628.02310454448 2262252.038747284)	67
55	Stettin	298372.15737944224	2637519.7101879576	99.0	POINT (298372.15737944224 2637519.7101879576)	76
56	Sofia	1086534.8233591279	1546665.2240101767	353.0	POINT (1086534.8233591279 1546665.2240101767)	35
57	Straßburg	-164381.35532634173	2098634.173955371	151.0	POINT (-164381.35532634173 2098634.173955371)	59
58	Kairo	2136476.9459137004	325470.1705729744	304.0	POINT (2136476.9459137004 325470.1705729744)	41
59	Venedig	181493.37389398922	1752213.5182079163	73.0	POINT (181493.37389398922 1752213.5182079163)	86
60	Flensburg	-35500.58302244556	2777036.8783341246	120.0	POINT (-35500.58302244556 2777036.8783341246)	69
61	Gotha	48754.62341628902	2356031.738703368	111.0	POINT (48754.62341628902 2356031.738703368)	72
62	Lübeck	44674.17577585807	2676584.190687036	73.0	POINT (44674.17577585807 2676584.190687036)	85
63	Bolderaa	838769.6376148027	3106278.23016156	534.0	POINT (838769.6376148027 3106278.23016156)	29
64	Schleswig	-28123.53785052207	2748123.8419185844	68.0	POINT (-28123.53785052207 2748123.8419185844)	94
65	Windau	684938.6110340626	3119258.1407355755	148.0	POINT (684938.6110340626 3119258.1407355755)	60
66	Kronstadt	1083294.839511968	3501233.353969753	177.0	POINT (1083294.839511968 3501233.353969753)	56
67	Genf	-295058.1859562578	1841656.7245201985	117.0	POINT (-295058.1859562578 1841656.7245201985)	70
68	Christiania	41578.1050063612	3342403.766468558	72.0	POINT (41578.1050063612 3342403.766468558)	88
69	Braunschweig	35545.536822677095	2500553.7001472404	75.0	POINT (35545.536822677095 2500553.7001472404)	84
70	Semlin	815745.557255586	1743015.9520996609	101.0	POINT (815745.557255586 1743015.9520996609)	75
71	Kiew	1419352.8782927818	2505617.3178727897	172.0	POINT (1419352.8782927818 2505617.3178727897)	57
72	Dublin	-1058500.2070082165	2737707.8128476427	177.0	POINT (-1058500.2070082165 2737707.8128476427)	54
73	Charkow	1818368.2142817262	2585285.574635606	192.0	POINT (1818368.2142817262 2585285.574635606)	53
74	Pernau	834834.8617582255	3257827.629529839	139.0	POINT (834834.8617582255 3257827.629529839)	62
75	Zagreb	461081.02103351924	1810124.28625423	129.0	POINT (461081.02103351924 1810124.28625423)	65
76	Tiflis	2798324.461616221	2025494.135913455	111.0	POINT (2798324.461616221 2025494.135913455)	74
77	Bordeaux	-829636.0558300844	1744478.803240321	138.0	POINT (-829636.0558300844 1744478.803240321)	63
78	Ragusa	429780.8238119563	812259.7064455625	160.0	POINT (429780.8238119563 812259.7064455625)	58
79	Krakau	700380.856085777	2306905.1126429634	68.0	POINT (700380.856085777 2306905.1126429634)	93
80	Bremerhaven	-91928.86618821701	2640738.43898955	77.0	POINT (-91928.86618821701 2640738.43898955)	82
81	Gent	-434123.09097721835	2385956.0061641764	77.0	POINT (-434123.09097721835 2385956.0061641764)	83
