	placename	longitude	latitude	freq	geometry	id
0	Paris	-110359.62992863369	2454351.9796797894	2473.0	POINT (-110359.62992863369 2454351.9796797894)	0
1	London	-343753.745474364	2609033.533860437	2247.0	POINT (-343753.745474364 2609033.533860437)	1
2	Berlin	262183.8756510826	2565235.514770267	599.0	POINT (262183.8756510826 2565235.514770267)	7
3	St. Petersburg	1202515.3676029984	3635893.163227061	1574.0	POINT (1202515.3676029984 3635893.163227061)	2
4	Wien	435303.2955433087	1986414.7672359527	1204.0	POINT (435303.2955433087 1986414.7672359527)	3
5	Madrid	-512226.1464170659	1886049.9264201096	870.0	POINT (-512226.1464170659 1886049.9264201096)	5
6	Konstantinopel	1893356.2838383927	790756.5247337571	516.0	POINT (1893356.2838383927 790756.5247337571)	9
7	Brüssel	-79988.96204730519	2546757.6075365157	388.0	POINT (-79988.96204730519 2546757.6075365157)	11
8	Kopenhagen	-121557.22680734051	2787399.6523086685	344.0	POINT (-121557.22680734051 2787399.6523086685)	12
9	München	192023.86978675216	2157749.421366013	195.0	POINT (192023.86978675216 2157749.421366013)	19
10	Hamburg	95198.14746338548	2693104.533012159	233.0	POINT (95198.14746338548 2693104.533012159)	16
11	Stockholm	-394721.16210834717	3752986.0421383786	309.0	POINT (-394721.16210834717 3752986.0421383786)	14
12	Dresden	140390.6112035166	2227481.6967527783	168.0	POINT (140390.6112035166 2227481.6967527783)	21
13	Warschau	598292.5566112265	1817177.2933274326	163.0	POINT (598292.5566112265 1817177.2933274326)	22
14	Neapel	338139.17568546487	1158787.4693350345	179.0	POINT (338139.17568546487 1158787.4693350345)	20
15	Amsterdam	-125559.19001934677	2629476.057951715	229.0	POINT (-125559.19001934677 2629476.057951715)	17
16	Haag	-72809.43231463351	2648116.722290963	297.0	POINT (-72809.43231463351 2648116.722290963)	15
17	Odessa	1861730.166009494	1664489.885722542	148.0	POINT (1861730.166009494 1664489.885722542)	24
18	Bukarest	1568984.2396395584	842278.3042062535	80.0	POINT (1568984.2396395584 842278.3042062535)	38
19	Lissabon	-868858.0999665543	1819814.4585017734	408.0	POINT (-868858.0999665543 1819814.4585017734)	10
20	Hannover	-7607.674001849489	2518893.87907606	150.0	POINT (-7607.674001849489 2518893.87907606)	23
21	Stuttgart	17376.303031064686	2201803.660475836	101.0	POINT (17376.303031064686 2201803.660475836)	31
22	Triest	176026.2041834495	1502029.385845991	143.0	POINT (176026.2041834495 1502029.385845991)	25
23	Main	86274.21577669156	2341782.8729136134	914.0	POINT (86274.21577669156 2341782.8729136134)	4
24	Karlsruhe	10738.316325734602	2269438.0145043237	60.0	POINT (10738.316325734602 2269438.0145043237)	43
25	Kassel	1849.5246829490643	2425245.806590664	84.0	POINT (1849.5246829490643 2425245.806590664)	36
26	Moskau	2072392.4832250117	3261801.798313666	83.0	POINT (2072392.4832250117 3261801.798313666)	37
27	Leipzig	58455.0987194638	2294409.833627618	125.0	POINT (58455.0987194638 2294409.833627618)	26
28	Frankfurt am Main	23829.333456859342	2368928.5051277997	334.0	POINT (23829.333456859342 2368928.5051277997)	13
29	Königsberg	280909.70660168014	2207382.9436910795	115.0	POINT (280909.70660168014 2207382.9436910795)	29
30	Mailand	-81660.36390377034	1724829.3702939153	98.0	POINT (-81660.36390377034 1724829.3702939153)	33
31	Italien	308547.146665907	1670160.149947571	599.0	POINT (308547.146665907 1670160.149947571)	8
32	Schweiz	24653.439010264934	2129747.4457204035	100.0	POINT (24653.439010264934 2129747.4457204035)	32
33	Genua	-89994.93654841348	1625785.8332389186	56.0	POINT (-89994.93654841348 1625785.8332389186)	45
34	Bayonne	-247928.70873117342	2177043.6076930556	111.0	POINT (-247928.70873117342 2177043.6076930556)	30
35	Smyrna	1708339.2637319588	548812.7738757441	78.0	POINT (1708339.2637319588 548812.7738757441)	40
36	Augsburg	59532.14656679216	2064686.1528760921	125.0	POINT (59532.14656679216 2064686.1528760921)	27
37	Semlin	808177.2698509449	1374386.934211578	67.0	POINT (808177.2698509449 1374386.934211578)	41
38	Livorno	36092.92391746421	1558253.8417254912	80.0	POINT (36092.92391746421 1558253.8417254912)	39
39	Korfu	861244.9345930781	768712.773150608	87.0	POINT (861244.9345930781 768712.773150608)	35
40	Niederelbe	10915.740224453155	2691247.3696925337	120.0	POINT (10915.740224453155 2691247.3696925337)	28
41	Spanische Grenze	-123972.22989509406	2173123.784027743	91.0	POINT (-123972.22989509406 2173123.784027743)	34
42	Sachsen	40191.88929595391	2195927.668415785	61.0	POINT (40191.88929595391 2195927.668415785)	42
43	Regensburg	69496.74884124077	2032105.6557933064	52.0	POINT (69496.74884124077 2032105.6557933064)	47
44	Zante	964545.4820465983	1113554.8316445625	56.0	POINT (964545.4820465983 1113554.8316445625)	44
45	Oesterreich	263624.94859820034	1991025.768537243	53.0	POINT (263624.94859820034 1991025.768537243)	46
46	Rom	217171.55634113133	1381713.478824888	227.0	POINT (217171.55634113133 1381713.478824888)	18
47	Riga	843557.4062178921	3097649.308430635		POINT (843557.4062178921 3097649.308430635)	6
